医療機関コード,名称,正式名称（フリガナ）,略称,略称（フリガナ）,英語表記（ローマ字表記）,住所,緯度,経度,案内用ホームページアドレス,カテゴリ
1,医療法人社団輝生会　成城リハビリテーション病院,イリョウホウジンシャダンキセイカイ　セイジョウリハビリテーションビョウイン,成城リハビリテーション病院,セイジョウリハビリテーションビョウイン,Seijo Rehabilitation Byoin,東京都世田谷区祖師谷３－８－７　ガーデン成城ビル,35.642312,139.604861,http://www.seijo-reha.com,病院
2,一般財団法人脳神経疾患研究所　世田谷リハビリテーション病院,イッパンザイダンホウジンノウシンケイシッカンケンキュウショ　セタガヤリハビリテーションビョウイン,世田谷リハビリテーション病院,セタガヤリハビリテーションビョウイン,SetagayaRihabiriteshonByoin,東京都世田谷区松原６－３７－１,35.657672,139.650607,http://tokyo-rehabili.jp,病院
3,自衛隊中央病院,ジエイタイチュウオウビョウイン,自衛隊中央病院,ジエイタイチュウオウビョウイン,Self-Defence Forces Central Hospital,東京都世田谷区池尻１－２－２４,35.645202,139.684632,http://www.mod.go.jp/gsdf/chosp/index.html,病院
4,一般財団法人平和協会　駒沢病院,イッパンザイダンホウジンヘイワキョウカイ　コマザワビョウイン,駒沢病院,コマザワビョウイン,KOMAZAWA Hospital,東京都世田谷区駒沢２－２－１５,35.633897,139.66044,https://komazawa-hp.jp/,病院
5,医療法人社団さくら会　世田谷中央病院,イリョウホウジンシャダンサクラカイ　セタガヤチュウオウビョウイン,世田谷中央病院,セタガヤチュウオウビョウイン,Setagaya Chuo Byoin,東京都世田谷区世田谷１－３２－１８,35.641201,139.65058,http://www.setagaya-hp.or.jp/,病院
6,社会福祉法人児玉新生会　児玉経堂病院,シャカイフクシホウジンコダマシンセイカイ　コダマキョウドウビョウイン,児玉経堂病院,コダマキョウドウビョウイン,Kodamakyoudou Byoin,東京都世田谷区経堂２－５－２１,35.652617,139.635414,https://www.kodamakyodo-hp.jp,病院
7,古畑病院,フルハタビョウイン,古畑病院,フルハタビョウイン,Furuhata Byouin,東京都世田谷区池尻２－３３－１０,35.648951,139.68191,http://www.furuhatahospital.com,病院
8,医療法人社団大坪会　三軒茶屋病院,イリョウホウジンシャダンオオツボカイ　サンゲンヂャヤビョウイン,三軒茶屋病院,サンゲンヂャヤビョウイン,SANGENDYAYA HOSPITAL,東京都世田谷区三軒茶屋１－２１－５,35.64023,139.668801,http://www.sangenjaya-hp.net/,病院
9,医療法人社団望眞会　世田谷桜丘病院,イリョウホウジンシャダンボウシンカイ　セタガヤサクラガオカビョウイン,世田谷桜丘病院,セタガヤサクラガオカビョウイン,Setagaya Sakuragaoka Byoin,東京都世田谷区桜丘４－２５－８,35.639007,139.620166,https://www.setasaku-hospital.com/,病院
10,医療法人財団青葉会　青葉病院,イリョウホウジンザイダンアオバカイ　アオバビョウイン,青葉病院,アオバビョウイン,Aoba Byouin,東京都世田谷区太子堂２－１５－２,35.643868,139.671356,http://www1a.biglobe.ne.jp/aoba-hp/,病院
11,医療法人社団　弘生会　東都三軒茶屋リハビリテーション病院,イリョウホウジンシャダン　コウセイカイ　トウトサンゲンヂャヤリハビリテーションビョウイン,東都三軒茶屋リハビリテーション病院,トウトサンゲンヂャヤリハビリテーションビョウイン,Toutosangenjayarihabirite-syon Hospital,東京都世田谷区三軒茶屋１－２４－３,35.640313,139.670995,http://sangenjaya-dai2.com/,病院
12,医療法人社団大坪会　三軒茶屋第一病院,イリョウホウジンシャダンオオツボカイ　サンゲンチャヤダイイチビョウイン,三軒茶屋第一病院,サンゲンチャヤダイイチビョウイン,Sangendyayadaiichi Byoin,東京都世田谷区三軒茶屋１－２２－８,35.640785,139.669245,http://www.sangenjaya-dai1.com,病院
13,地方独立行政法人東京都立病院機構　東京都立松沢病院,チホウドクリツギョウセイホウジントウキョウトリツビョウインキコウ　トウキョウトリツマツザワビョウイン,松沢病院,マツザワビョウイン,Tokyo Metropolitan Matsuzawa Hospital,東京都世田谷区上北沢２－１－１,35.668309,139.620026,https://www.tmhp.jp/matsuzawa/,病院
14,医療法人社団青泉会　下北沢病院,イリョウホウジンシャダンセイセンカイ　シモキタザワビョウイン,下北沢病院,シモキタザワビョウイン,SIMOKITAZAWA HOSPITAL,東京都世田谷区北沢２－８－１６,35.662394,139.669966,http://www.shimokitazawa-hp.or.jp/,病院
15,公立学校共済組合　関東中央病院,コウリツガッコウキョウサイクミアイ　カントウチュウオウビョウイン,関東中央病院,カントウチュウオウビョウイン,Kanto Central Hospital for Public School Teachers,東京都世田谷区上用賀６－２５－１,35.636729,139.626082,http://www.kanto-ctr-hsp.com,病院
16,公益財団法人日産厚生会　玉川病院,コウエキザイダンホウジンニッサンコウセイカイ　タマガワビョウイン,玉川病院,タマガワビョウイン,NISSAN TAMAGAWA HOSPITAL,東京都世田谷区瀬田４－８－１,35.62087,139.623972,http://www.tamagawa-hosp.jp,病院
17,医療法人社団東京せいわ会　おくさわ脳卒中リハビリテーション病院,イリョウホウジンシャダントウキョウセイワカイ　オクサワノウソッチュウリハビリテーションビョウイン,,,Okusawanousottyuurihabirite-shonByoin,東京都世田谷区奥沢３－３３－１３,35.603095,139.672552,https://setagayaokusawahp.wixsite.com/,病院
18,医療法人横浜未来ヘルスケアシステム　奥沢病院,イリョウホウジンヨコハマミライヘルスケアシステム　オクサワビョウイン,奥沢病院,オクサワビョウイン,OKUSAWA Hospital&Clinics,東京都世田谷区奥沢２－１１－１１,35.605011,139.672135,http://www.okusawahp.jp/,病院
19,国立研究開発法人国立成育医療研究センター,コクリツケンキュウカイハツホウジンコクリツセイイクイリョウケンキュウセンター,国立成育医療研究センター,コクリツセイイクイリョウケンキュウセンター,National Center for Child Health and Development,東京都世田谷区大蔵２－１０－１,35.634007,139.612556,https://www.ncchd.go.jp/,病院
20,一般社団法人　至誠会第二病院,イッパンシャダンホウジン　シセイカイダイニビョウイン,至誠会第二病院,シセイカイダイニビョウイン,SHISEIKAI DAINI HOSPITAL,東京都世田谷区上祖師谷５－１９－１,35.656476,139.591251,http://www.shiseikai-daini-hosp.jp/,病院
21,医療法人社団九折会　成城木下病院,イリョウホウジンシャダンキュウセツカイ　セイジョウキノシタビョウイン,成城木下病院,セイジョウキノシタビョウイン,Seijo Kinoshita Hospital,東京都世田谷区成城６－１３－２０,35.641534,139.600084,http://www.kinohosp.com,病院
22,昭和医科大学烏山病院,ショウワイカダイガクカラスヤマビョウイン,烏山病院,カラスヤマビョウイン,Showaikadaigaku  Karasuyama Byoin,東京都世田谷区北烏山６－１１－１１,35.672308,139.595611,http://www.showa-u.ac.jp/SUHK/,病院
23,社会福祉法人　東京有隣会　有隣病院,シャカイフクシホウジン　トウキョウユウリンカイ　ユウリンビョウイン,有隣病院,ユウリンビョウイン,YURIN HOSPITAL,東京都世田谷区船橋２－１５－３８,35.651005,139.618943,https://tokyoyurin-hospital.com/,病院
24,社会福祉法人康和会　久我山病院,シャカイフクシホウジンコウワカイ　クガヤマビョウイン,久我山病院,クガヤマビョウイン,Kugayama Byoin,東京都世田谷区北烏山２－１４－２０,35.681613,139.598554,https://www.kugayama-hp.org/,病院
25,医療法人社団下田緑眞会　世田谷北部病院,イリョウホウジンシャダンシモダリョクシンカイ　セタガヤホクブビョウイン,世田谷北部病院,セタガヤホクブビョウイン,Setagaya. Hokubu Byouin,東京都世田谷区南烏山２－９－１７,35.666698,139.606471,https://setahoku.jp/,病院
